Downloaded from wid.world on 10-04-2022 at 19:04:32
Percentile;Year;"anninc_z_BR
National income
P0-100 | average income or wealth | Euro € | ppp | constant (2021)
Brazil";"anninc_z_US
National income
P0-100 | average income or wealth | Euro € | ppp | constant (2021)
USA";"agdpro_z_BR
Gross domestic product
P0-100 | average income or wealth | Euro € | ppp | constant (2021)
Brazil";"agdpro_z_US
Gross domestic product
P0-100 | average income or wealth | Euro € | ppp | constant (2021)
USA"
p0p100;1950;4957.4908;16354.0583;5448.6193;
p0p100;1951;5054.7367;17462.0381;5561.3951;
p0p100;1952;5215.4469;17907.6104;5738.3077;
p0p100;1953;5319.8334;18462.2693;5860.3694;
p0p100;1954;5526.1727;18093.4591;6086.177;
p0p100;1955;5775.3873;19376.5833;6356.5571;
p0p100;1956;5678.1094;19681.3077;6284.5753;
p0p100;1957;5988.4829;19699.8292;6625.8805;
p0p100;1958;6354.5078;19183.6921;7028.7609;
p0p100;1959;6695.781;20358.9268;7410.8921;
p0p100;1960;7058.2196;20547.5221;7814.5089;23547.934
p0p100;1961;7608.9381;20886.2613;8402.2429;23904.5608
p0p100;1962;7805.1269;22000.6497;8625.2328;25075.4292
p0p100;1963;7652.0055;22736.3685;8488.2817;25863.614
p0p100;1964;7713.2605;23741.6703;8560.3916;26957.7203
p0p100;1965;7724.4676;24993.8783;8583.5743;28349.0156
p0p100;1966;7830.9994;26299.0452;8712.9687;29853.1301
p0p100;1967;7971.0565;26628.2771;8889.3049;30313.2097
p0p100;1968;8644.9254;27408.9969;9617.2561;31194.847
p0p100;1969;9195.964;27729.4962;10240.0524;31649.1518
p0p100;1970;9671.1464;27151.1044;10804.0594;31111.1833
p0p100;1971;10425.9627;27284.4873;11664.5109;31369.3575
p0p100;1972;11319.0111;28278.9438;12675.5543;32338.3909
p0p100;1973;12527.8763;29474.6718;14006.097;33548.9079
p0p100;1974;13209.0458;28561.6959;14800.1704;32793.3295
p0p100;1975;13139.9138;27541.1826;15085.1837;32112.1188
p0p100;1976;13987.4932;28532.6812;16057.2583;33244.5357
p0p100;1977;14108.5302;29383.5433;16289.374;34148.9199
p0p100;1978;14051.0536;30391.6619;16306.1847;35358.1694
p0p100;1979;14511.1544;30489.9738;16873.1375;35781.5581
p0p100;1980;15315.5383;29578.2654;17832.3399;34958.8656
p0p100;1981;13956.6255;29824.6788;16539.3571;35241.4065
p0p100;1982;13416.8581;28868.4626;16124.6292;34065.1154
p0p100;1983;12343.8873;29429.6005;15094.1815;35079.7835
p0p100;1984;12616.7009;31486.1908;15406.7964;37067.1471
p0p100;1985;13376.4804;32118.0344;16138.1738;38013.1518
p0p100;1986;14291.9109;32440.576;16942.8139;38781.97
p0p100;1987;14533.8249;33509.6818;17064.6194;39669.9454
p0p100;1988;14037.6691;34962.246;16579.6067;40910.7448
p0p100;1989;14321.7219;35510.4963;16667.5027;42012.5273
p0p100;1990;13531.2669;35613.7378;15735.5816;42264.2225
p0p100;1991;13445.3242;34997.4579;15562.6075;41636.393
p0p100;1992;13071.2942;35788.3188;15113.7779;42522.6079
p0p100;1993;13322.1738;36169.2419;15445.9893;43160.015
p0p100;1994;13865.7197;37410.2525;15883.9;44407.7863
p0p100;1995;14164.9821;38247.1706;16183.5787;45086.0392
p0p100;1996;14094.025;39517.6184;16147.1395;46271.4854
p0p100;1997;14158.9303;41043.846;16294.4012;47738.6977
p0p100;1998;13785.2845;42720.3583;15953.8005;49297.6725
p0p100;1999;13344.556;44077.2163;15638.5599;51011.5094
p0p100;2000;13674.2058;45563.5136;15926.391;52465.8342
p0p100;2001;13485.6378;45401.6089;15767.1217;52387.8749
p0p100;2002;13533.1881;45383.3691;15857.0349;52696.4022
p0p100;2003;13294.7964;45913.5205;15652.969;53505.5028
p0p100;2004;13799.6296;47284.2521;16170.4504;54895.7418
p0p100;2005;13897.2598;48361.4566;16319.8254;56135.2735
p0p100;2006;14126.7498;49493.6623;16601.0924;57030.573
p0p100;2007;14723.1293;49085.2739;17250.8499;57434.3839
p0p100;2008;15199.4965;47765.318;17778.2255;56739.0884
p0p100;2009;14826.9714;45510.9773;17422.319;54691.1602
p0p100;2010;15588.0637;47037.6274;18390.231;55465.401
p0p100;2011;15988.0623;48016.8723;18781.2318;55953.9319
p0p100;2012;16099.9095;49115.9083;18816.6143;56518.3797
p0p100;2013;16512.7162;49442.0415;19062.6268;57297.2685
p0p100;2014;16202.9831;50531.6407;18847.4179;58139.4684
p0p100;2015;15306.9889;51849.9064;17885.814;59870.3479
p0p100;2016;14539.3644;51525.745;17034.9365;60099.0849
p0p100;2017;14577.2125;52315.1974;16995.1992;61138.4718
p0p100;2018;14445.0003;53087.0438;16958.824;62344.0592
p0p100;2019;14386.5311;53607.0541;16902.7564;63131.9622
p0p100;2020;13538.8557;50823.4775;15993.7939;60428.1055
p0p100;2021;13985.2838;54596.7921;16366.6392;64020.4306
