Downloaded from wid.world on 10-04-2022 at 19:29:28
Percentile;Year;"anninc_z_BR
National income
P0-100 | average income or wealth | Dollar $ | ppp | constant (2021)
Brazil";"anninc_z_US
National income
P0-100 | average income or wealth | Dollar $ | ppp | constant (2021)
USA";"agdpro_z_BR
Gross domestic product
P0-100 | average income or wealth | Dollar $ | ppp | constant (2021)
Brazil";"agdpro_z_US
Gross domestic product
P0-100 | average income or wealth | Dollar $ | ppp | constant (2021)
USA"
p0p100;1950;7039.497;23222.3;7736.8856;
p0p100;1951;7177.5834;24795.6;7897.024;
p0p100;1952;7405.7874;25428.3;8148.2349;
p0p100;1953;7554.0132;26215.9;8321.559;
p0p100;1954;7847.0092;25692.2;8642.1996;
p0p100;1955;8200.8869;27514.2;9026.1316;
p0p100;1956;8062.755;27946.9;8923.9195;
p0p100;1957;8503.4766;27973.2;9408.5632;
p0p100;1958;9023.2217;27240.3;9980.642;
p0p100;1959;9507.82;28909.1;10523.2575;
p0p100;1960;10022.4726;29176.9;11096.382;33437.4
p0p100;1961;10804.4773;29657.9;11930.9477;33943.8
p0p100;1962;11083.0599;31240.3;12247.5871;35606.4
p0p100;1963;10865.6318;32285.0;12053.1203;36725.6
p0p100;1964;10952.6121;33712.5;12155.5143;38279.2
p0p100;1965;10968.5259;35490.6;12188.4332;40254.8
p0p100;1966;11119.7981;37343.9;12372.1695;42390.6
p0p100;1967;11318.6752;37811.4;12622.5619;43043.9
p0p100;1968;12275.5499;38920.0;13656.2322;44295.8
p0p100;1969;13058.0093;39375.1;14540.5854;44940.9
p0p100;1970;13732.7549;38553.8;15341.4593;44177.0
p0p100;1971;14804.5727;38743.2;16563.2762;44543.6
p0p100;1972;16072.6761;40155.3;17998.9293;45919.6
p0p100;1973;17789.2307;41853.2;19888.2624;47638.5
p0p100;1974;18756.4721;40556.8;21015.824;46565.6
p0p100;1975;18658.3066;39107.7;21420.535;45598.3
p0p100;1976;19861.8454;40515.6;22800.8535;47206.3
p0p100;1977;20033.7146;41723.8;23130.4512;48490.5
p0p100;1978;19952.0995;43155.3;23154.3219;50207.6
p0p100;1979;20605.4296;43294.9;23959.3789;50808.8
p0p100;1980;21747.632;42000.3;25321.4192;49640.6
p0p100;1981;19818.0142;42350.2;23485.4201;50041.8
p0p100;1982;19051.5596;40992.4;22896.5182;48371.5
p0p100;1983;17527.9714;41789.2;21433.3115;49812.3
p0p100;1984;17915.359;44709.5;21877.2159;52634.3
p0p100;1985;18994.2245;45606.7;22915.7512;53977.6
p0p100;1986;20294.11;46064.7;24058.3173;55069.3
p0p100;1987;20637.621;47582.8;24231.2777;56330.2
p0p100;1988;19933.0938;49645.4;23542.5735;58092.1
p0p100;1989;20336.4407;50423.9;23667.3832;59656.6
p0p100;1990;19214.0169;50570.5;22344.0816;60014.0
p0p100;1991;19091.9807;49695.4;22098.4633;59122.5
p0p100;1992;18560.8687;50818.4;21461.1379;60380.9
p0p100;1993;18917.1107;51359.3;21932.8688;61286.0
p0p100;1994;19688.9305;53121.5;22554.6896;63057.8
p0p100;1995;20113.8747;54309.9;22980.2249;64020.9
p0p100;1996;20013.1176;56113.9;22928.4822;65704.2
p0p100;1997;20105.2813;58281.1;23137.5897;67787.6
p0p100;1998;19574.7148;60661.7;22653.9463;70001.3
p0p100;1999;18948.8928;62588.4;22206.3135;72434.9
p0p100;2000;19416.9862;64698.9;22615.0256;74500.0
p0p100;2001;19149.225;64469.0;22388.8676;74389.3
p0p100;2002;19216.745;64443.1;22516.5419;74827.4
p0p100;2003;18878.2355;65195.9;22226.7741;75976.3
p0p100;2004;19595.0845;67142.3;22961.583;77950.4
p0p100;2005;19733.7165;68671.9;23173.6913;79710.5
p0p100;2006;20059.5859;70279.6;23573.0825;80981.8
p0p100;2007;20906.428;69699.7;24495.7198;81555.2
p0p100;2008;21582.8559;67825.4;25244.5783;80567.9
p0p100;2009;21053.8808;64624.3;24739.2011;77659.9
p0p100;2010;22134.6104;66792.1;26113.6087;78759.3
p0p100;2011;22702.5971;68182.6;26668.8189;79453.0
p0p100;2012;22861.4169;69743.2;26719.061;80254.5
p0p100;2013;23447.5907;70206.3;27068.3919;81360.5
p0p100;2014;23007.7785;71753.5;26762.8013;82556.4
p0p100;2015;21735.492;73625.4;25397.3509;85014.2
p0p100;2016;20645.4869;73165.1;24189.1289;85339.0
p0p100;2017;20699.2301;74286.1;24132.703;86814.9
p0p100;2018;20511.4927;75382.1;24081.0514;88526.8
p0p100;2019;20428.468;76120.5;24001.4368;89645.6
p0p100;2020;19224.7928;72167.9;22710.7358;85806.2
p0p100;2021;19858.7081;77525.9;23240.1656;90907.2
